"ID","Viewpoint","Location","Collar","Tie","Skirt","Uniform","Sleeve","NSFW","Mood","Subject","Gender","Time","Author","Remarks"
"20200416-1203-5","Front","","Navy Blue","Red","","White","1","0","1","1","0","0","ひゃくにん。","Rainfall"
"20200416-1204","Front,Side","Bed","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","ひゃくにん。",
"20200416-1204-2","Side","School","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","1","ひゃくにん。",
"20200418-0106","Side","","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","ひゃくにん。",
"20200418-0106-2","Side","","Blue","","","Ivory","1","0","2","1","0","","Parum",
"20200418-0106-3","Side","Streets","Navy Blue","Red","","White","0","0","0","1","0","1","Coa","Rainfall,Umbrella"
"20200418-0106-4","Side","","Navy Blue","Red","","White","1","0","2","1","0","1","しゅは",
"20200418-0107","Side","Streets","Black","Red","Black","Black","1","0","0","1","0","","しゅは","Rainfall,Umbrella"
"20200418-0107-2","Front","","Black","Red","Black","Black","1","0","2","1","0","","しゅは",
"20200418-0107-3","Front,Top","Bed","Black","Red","Black","Ivory","1","1","2","1","0","","しゅは",
"20200419-1228","Front","School","Blue","Grue","Blue","White","0","0","1","1","0","0","ANRi°",
"20200419-1228-2","Front","School","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","しゅは",
"20200419-1229","Front,Top","Bed","Navy Blue","Red","Navy Blue","White","0","1","1","1","0","","しゅは",
"20200419-1229-2","Front,Back","School","Navy Blue","","Navy Blue","White","0","0","2","2","0","0","やすの","Yuri,Kissing"
"20200419-1229-3","Side","Streets","Grue","Grue","Grue","White","0","0","0","1","0","1","やすの","Rainfall"
"20200419-1229-4","Front","Streets","Navy Blue","Blue","Navy Blue","Translucent White","0","1","0","1","0","0","やすの","Rainfall"
"20200420-1459","Front","","Black","White","Black","Black","1","0","1","1","0","","sonoda",
"20200420-1500","Side","","Navy Blue","Red","Navy Blue","White","0","2","1","1","0","","もっつん",
"20200420-1500-2","Front","","Navy Blue","Red","Navy Blue","White","0","2","1","1","0","","もっつん","Undressing"
"20200420-1500-3","Side","","Navy Blue","Light Blue","Navy Blue","White","0","1","2","1","0","","もっつん",
"20200420-1500-4","Side","Streets","Navy Blue,Grue","Red","Navy Blue","White","1","0","2","1","0","0","Hiten",
"20200422-1531","Front","Sofa","Navy Blue","Light Blue","Navy Blue","White","0","2","2","1","0","","N.G.",
"20200422-1532","Front","Sofa","Navy Blue","Light Blue","Navy Blue","White","0","2","2","1","0","0","N.G.",
"20200422-1532-2","Front,Top","Streets","Gray","Red","Gray","White","1","0","1","1","0","0","まめもち","Fox"
"20200422-1532-3","Side","","Navy Blue","Blue","Navy Blue","White","0","0","2","1","0","","赤木",
"20200422-1532-4","Front","","Gray","Gray","Gray","White","1","0","2","1","0","","葉深",
"20200422-1532-5","Side","School","White","Red","Blue","White","1","0","2","1","0","0","泉アサヨ",
"20200425-0111","Front","","Navy Blue","Light Blue","Navy Blue","White","0","2","0","1","0","","40原",
"20200425-0112","Front,Bottom","","Navy Blue","Blue","Navy Blue","White","0","2","0","1","0","","40原",
"20200425-0112-3","Front","Wilderness,Beach","Navy Blue","Blue","Navy Blue","White","0","0","2","1","0","0","桜ひより",
"20200425-0112-4","Top","Wilderness","Navy Blue,White","Red,Blue","Navy Blue,White","Pink,Navy Blue","1","0","1,2","2","0","0","桜ひより","Yuri,Hand Holding"
"20200426-1","Front","","White","Black","Black","White","1","0","1","1","0","","かぽりちお","Cat"
"20200426-2","Front","Streets","White","Grue","Grue","Navy Blue,Ivory","1","0","2","1","0","0","フカヒレ",
"20200426-3","Front,Side","School","White","Grue","Grue","White","0","0","1","1","0","0","フカヒレ",
"20200426-4","Front","Streets","White","Red","Red","White","0","0","2","2","0","0","フカヒレ","Rainfall,Umbrella"
"20200426-5","Front","Vehicle","Black","Green","Navy Blue","White","1","0","2","2","0","0,1","betock",
"20200426-6","Front,Side","","Navy Blue","Red","Navy Blue","Brown,Dark Blue","1","0","2","2","0","","betock",
"20200426-7","Side","","Navy Blue","Navy Blue","Navy Blue","Ivory,Pink","1","0","2","2","0","","betock",
"20200426-8","Front","","Navy Blue","Red","Navy Blue","Brown","1","0","2","2","0","","betock",
"20200427-1","Side,Back","","Navy Blue","Red","Navy Blue","Ivory,Brown","1","0","2","2","0","","betock",
"20200427-2","Front,Side","","Navy Blue","Navy Blue","","Navy Blue","1","0","2","2","0","","betock",
"20200427-3","Front","Building","Black","White","Black","Black","0","0","1","1","0","","kiby",
"20200427-4","Front","School","Navy Blue","Red","Navy Blue","White","1","1","1","1","0","0","かがりん",
"20200427-5","Front","","Navy Blue","Red","Navy Blue","White","1","0","2","2","0","1","Ttori","BanG Dream! Girls Band Party,Aya Maruyama,Chisato Shirasagi,Hand Holding,Yuri"
"20200427-6","Front","","Navy Blue","Grue","Navy Blue","White","1","0","2","1","0","","空凪ゆき",
"20200428-1","Side","","White","Red","Brown","Brown","1","0","2","2","0","","耳かき",
"20200428-2","Front","School","Navy Blue","White","Navy Blue","Navy Blue,Ivory","1","0","2","1","0","","耳かき",
"20200428-3","Front","","Black","","Gray","White","1","1","2","1","0","","耳かき",
"20200428-4","Front,Side","Streets","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","1","耳かき",
"20200428-5","Front","Streets,Wilderness","Gray","Light Blue","Gray","White","0","1","2","1","0","","Ｔ２Ｒ（Tatsuru）",
"20200428-6","Front,Side","","Gray","Light Blue","Gray","White","1","0","1","2","0","","TID",
"20200429-1","Front,Top","Sofa","Navy Blue","Red","Navy Blue","White","1","2","2","1","0","","耳かき","Undressing"
"20200429-2","Bottom","Streets","Gray","Red","Gray","White","1","0","1","1","0","1,2","耳かき",
"20200429-3","Front","","White","Light Blue","Light Blue","Navy Blue,Black","1","1","1","1","0","","耳かき",
"20200429-4","Front","","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","耳かき",
"20200429-5","Front,Top","School","Grue,White","Red","Light Blue","Grue,White","1","0","1","1","0","0","ちょすけ",
"20200429-6","Front","","Black","Red","Black","Black","1","2","0","1","0","0,1","天観K",
"20200502-1","Front,Side","Streets","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","2","サイトー",
"20200502-2","Front","","Black","White","Black","Black","1","0","1","1","0","0","しぐれうい",
"20200502-3","Front","","Navy Blue","Red","","White","0","0","0","1","0","","しぐれうい",
"20200502-4","Front","Streets","Black","Light Blue","","White","","0","1","1","0","0","しぐれうい",
"20200502-5","Back","Building","Black","Red","Black","White","0","1","1","1","0","","らむち",
"20200503-1","Front,Side","Library","Navy Blue","Red","","White","1","0","1","1","0","","サイトー",
"20200503-2","Side","Wilderness","Navy Black","Light Blue","Navy Blue","White","0","0","1","1","0","1","サイトー",
"20200503-3","Front,Side","Streets","Navy Blue","Red","","White","1","0","1","1","0","0","サイトー",
"20200503-4","Front","Streets","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","サイトー",
"20200503-5","Front,Bottom","","Navy Blue","Red","Navy Blue","Ivory","1","1","1","1","0","","サイトー",
"20200503-6","Side","Streets","Black","Light Blue","Black","Black","1","0","0","1","0","1","サイトー",
"20200504-1","Side","","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","","サイトー",
"20200504-2","Front,Side","","Navy Blue","Light Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",
"20200504-3","Back","","Navy Blue","White","","White","1","0","0","1","0","2","サイトー",
"20200504-4","Side","","Navy Blue","Red","","White","0","0","1,2","1","0","0,1","サイトー",
"20200504-5","Front","Wilderness","Navy Blue","Light Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",
"20200504-6","Front","","Navy Blue","Red","Navy Blue","Ivory","1","1","1","1","0","","サイトー",
"20200505-1","Front","","Navy Blue","Yellow","","White","1","0","0,1","1","0","2","サイトー",
"20200505-2","Side","Wilderness","Navy Blue","Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",
"20200505-3","Front","","Navy Blue","Green","Navy Blue","Ivory","1","1","0","1","0","","サイトー",
"20200505-4","Front,Back,Top","Building","Gray","Yellow","Gray","White","0","2","1","2","0","0,1","sellel","Love Live! Sunshine!!,Yoshiko Tsushima,Riko Sakurauchi,Collar"
"20200505-5","Side","Hidden","Navy Blue","Light Blue","Navy Blue","White","1","2","0","2","0","2","fumi11号","Vibrator"
"20200505-6","Front,Side","Bed","Navy Blue","Navy Blue","Navy Blue,/","White","1","2","0,2","3","0","","霜降まぐろ/まぐろシャイニング","Vibrator"
"20200506-1","Front","Building","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","2","サイトー",
"20200506-2","Front,Top","","Navy Blue","Red","","White","0","0","0","1","0","","サイトー",
"20200506-3","Side","Library","Navy Blue","Green","Navy Blue","Ivory","1","0","1","1","0","0,1","サイトー",
"20200506-4","Side","School","Navy Blue","Red","Navy Blue","White","1","0","1","2","0","","サイトー","Yuri,Kissing"
"20200506-5","Side","","Navy Blue","Red","Navy Blue","Gray,White","1","0","2","2","0","","サイトー","Yuri"
"20200506-6","Front,Top","Sofa","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","サイトー",
"20200507-1","Back,Front","School,Hidden","Navy Blue","Green","Navy Blue","White","0","0","2","3","0","","betock","Yuri"
"20200507-2","Front","Building","Black,Navy Blue","Red","","Black,Navy Blue","1","0","1","1","0","0","OTHERS",
"20200507-3","Front","","White","Grue","Grue","Black,White","1","0","2","1","0","","たんたんめん","Fox"
"20200507-4","Front","","Black","Grue","Black","Gray","1","0","1","1","0","","たんたんめん",
"20200507-5","Front","","Navy Blue","Light Blue","Navy Blue","Gray","1","0","2","1","0","","たんたんめん",
"20200507-6","Front","","Black","Green","Black","Gray","1","0","2","1","0","","たんたんめん",
"20200508-1","Front,Side","Chair","Black","Light Blue","Gray","Light Blue,White","1","0","2","1","0","","たんたんめん",
"20200508-2","Front","","Black","Blue","Black","Black,Light Blue","0","0","1,2","1","0","","たんたんめん",
"20200508-3","Front","","Light Blue","Yellow","","White","1","0","2","1","0","","たんたんめん",
"20200508-4","Front","","Black","White","Black","Black","1","0","1","1","0","","たんたんめん",
"20200508-5","Front","School","Black","Light Blue","Black","White","1","0","2","1","0","","たんたんめん",
"20200508-6","Front,Side","School","Navy Blue","Light Blue","Navy Blue","White","1","0","1","1","0","0","DangMyo",
"20200508-7","Front,Bottom","Streets","Black","Black","Black,Navy Blue","White","0","0","1","1","0","1","DangMyo",
"20200511-2","Front","Hidden","Navy Blue","Yellow","Navy Blue,Yellow","White,Yellow","","0","1","1","0","0","ねむりねむ",
"20200511-3","Front,Top","Library","Navy Blue","Yellow,Red","Navy Blue","White","0","0","1,2","2","0","1","ねむりねむ",
"20200511-4","Front,Side,Top","Building","White","White","White","Black","0","0","0","1","0","1","ねむりねむ",
"20200511-5","Front,Side","","Black","White","Black","Brown","1","0","2","1","0","","ねむりねむ",
"20200511-6","Front","Streets","Black","Ivory","Navy Blue,Purple","Pink,Brown","1","0","1,2","1","0","1,2","ねむりねむ",
"20200512-1","Front,Side","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","ふるとり",
"20200512-2","Front","","Blue","Grue","Navy Blue","White","1","2","0","1","0","","TripleQ",
"20200512-3","Front,Top","Bed","Light Blue","Red","Light Blue","White","","2","0","1","0","","TripleQ","Vibrator,Collar"
"20200512-4","Front","","Black","Red","Black","White","1","0","0,1","1","0","","ひさまる",
"20200512-5","Top","Bed","Black","Red","Black","White","1","1","1","1","0","","ひさまる",
"20200512-6","Front","Library","Black","Red","Black","White","0","1","2","1","0","1","Angel(あんへる)",
"20200513-1","Front","","Blue","White","/","Blue","1","2","0","1","0","","TripleQ","Vibrator"
"20200513-2","Side","","Gray","Light Blue","Gray","White","1","2","0","1","0","","TripleQ",
"20200513-4","Top","Bed","Navy Blue","Red","","White","0","0","1","1","0","","ふるとり",
"20200513-5","Front","","Navy Blue","Grue","Navy Blue","White","0","0","2","1","0","","しき",
"20200513-6","Front,Side,Back","Streets","Navy Blue","Red","Navy Blue","Navy Blue","1","0","2","2","0","0","荻pote",
"20200514-1","Top","Wilderness","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","0","a","Suicide"
"20200514-2","Front","","Navy Blue","Red","Navy Blue","White","0","2","2","1","0","","柴茶(しばちゃ)","Swimsuit"
"20200514-4","Front","","White","Grue","Light Blue","White","0","0","2","1","0","","しき",
"20200514-5","Front","Wilderness","Navy Blue","White","","Navy Blue","1","0","1","1","0","","しき",
"20200514-6","Side","","Black","White","","Black","","0","0","1","0","","栗林",
"20200514-7","Front,Bottom","School","Navy Blue","Red","Navy Blue","White","0","2","2","1","0","0","てやそけ",
"20200516-1","Front","","Navy Blue","Red","","White","0","0","2","1","0","","おむたつ/omutatsu",
"20200516-10","Front,Side,Bottom","","Navy Blue","Red","Navy Blue","White","1","1","1","1","0","","ALLENES",
"20200516-11","Front,Side","","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","ALLENES",
"20200516-12","Front,Side,Top","Building","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","","ALLENES",
"20200516-2","Front","Bed","Navy Blue","Blue","/","White","0","2","2","1","0","0","ALLENES","Collar"
"20200516-3","Back","","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","","ALLENES",
"20200516-4","Front","","White","Navy Blue","/","White","0","2","2","1","0","","ALLENES","Elf"
"20200516-5","Front","Building","Navy Blue","Red","Navy Blue","White","0","0","2","2","0","2","ALLENES",
"20200516-6","Side","Building","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","ALLENES",
"20200516-7","Back,Side","Bed","Navy Blue","Red","Navy Blue","White","1","1","1","1","0","0","ALLENES",
"20200516-8","Front","","Navy Blue","Blue","Navy Blue","White","1","0","0","1","0","","ALLENES",
"20200516-9","Side","Building","Black","White","","Black","1","0","2","1","0","0","ALLENES",
"20200519-1","Front","Building","Black","Blue","Black","White","1","0","2","1","0","0","ぺんたごん",
"20200519-2","Front,Side","","Navy Blue","Red","Navy Blue","White","0","1","2","2","0","","耳かき",
"20200520-1","Side,Top","Bed","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","れいなま","Collar"
"20200520-2","Side","School","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","れいなま",
"20200520-3","Front","","Black","Red","","White","1","0","2","1","0","","nene .I",
"20200520-4","Top","School","Navy Blue","Blue","Navy Blue","White","1","2","1","1","0","0,1","さかさま",
"20200520-5","Back","","Navy Blue","","Navy Blue","White","1","2","1","1","0","","さかさま",
"20200520-6","Front,Bottom","Wilderness","Navy Blue","Blue","Navy Blue","White","1","2","1","1","0","0","さかさま",
"20200521-1","Top","Bed","Navy Blue","White","Navy Blue","Navy Blue","1","0","0","1","0","0","えのきたろー",
"20200521-2","Front","Wilderness","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","0","eating",
"20200521-4","Front","Streets","Black","Black,Red","Black","White","0","0","2","2","0","","ぴりぷん","Rainfall,Umbrella"
"20200521-5","Side","Chair,Building","Black","White","Black","Black","1","0","2","2","0","","ぴりぷん",
"20200521-6","Front","Building","Black","White","Black","Black","1","0","1,2","2","0","","ぴりぷん",
"20200522-1","Front","","Black","White","Black","Black","1","0","1","1","0","","ぴりぷん",
"20200522-2","Front","Wilderness","Navy Blue,Black","Red","Navy Blue","White","1","0","2","1","0","0","ぴりぷん","Rainfall,Umbrella"
"20200522-3","Front","School,Locker,Hidden","White","Red","Navy Blue","White","0","2","1","1","0","0","えと",
"20200522-4","Front,Side","School,Locker","White","Grue","Navy Blue","White","0","0","1","1","0","0","えと",
"20200522-5","Front","School","Gray","Red","Gray","White","1","1","1","1","0","","えと",
"20200522-6","Side","Building,Drinking Fountain","Gray","Red","Gray","White","0","0","1","1","0","0","えと","Drinking Fountain"
"20200524-1","Front","Streets","Navy Blue","Green","Navy Blue","White","0","0","2","1","0","0","Uut",
"20200524-2","Front","","White","Blue","White","Translucent White","0","0","0","1","0","","Uut",
"20200524-3","Front","Streets,Hidden","Navy Blue","Red","Navy Blue","White","1","1","0","1","0","2","B449",
"20200524-4","Front,Bottom","Streets","Navy Blue","Red","Navy Blue","White","1","2","0","1","0","1","B449",
"20200524-5","Front,Side","Bed","Navy Blue","Red","Navy Blue","White","1","2","1,2","1","0","","B449",
"20200524-6","Front","Building","Navy Blue","Red","/","White","1","1","1","1","0","","B449",
"20200526-1","Front,Side","Wilderness","Pink","Pink","","Pink","1","0","0","1","0","0","紗久太郎",
"20200526-2","Front","Wilderness","Blue","Light Blue","Blue","White","0","0","1","1","0","0","紗久太郎",
"20200526-4","Side","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","M子",
"20200526-5","Front","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","derori",
"20200526-6","Front","School","White","Red","Black","Black","1","0","1","1","0","1","白クマシェイク",
"20200527-1","Top","","Navy Blue","Navy Blue","Navy Blue","White","1","2","0","2","0","","なのなんの18","Collar"
"20200527-2","Front,Top","Hidden","Navy Blue","Red","Navy Blue","White","1","2","1","1","0","2","なのなんの18","Vibrator"
"20200527-3","Side","Building","Navy Blue","Red","","Ivory","1","0","1","1","0","1","白クマシェイク",
"20200527-4","Front,Side","Streets","White","Red","Navy Blue","Navy Blue","1","0","1","1","0","0","白クマシェイク",
"20200527-5","Front,Side","School","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","白クマシェイク","Confession,Love Letter"
"20200527-6","Side","","Black","Red","Black","White","0","0","2","1","0","","白クマシェイク",
"20200528-1","Front","","Black","Black","","White","1","2","0","1","0","","なのなんの18","Collar"
"20200528-2","Front","","Navy Blue","White","Navy Blue","Navy Blue","1","0","2","1","0","","桃園結",
"20200528-3","Front","Streets","Black","Red","Black","Black","0","0","2","1","0","1","えのきたろー","Angel"
"20200528-5","Front","","Navy Blue","Red","","White","1","0","0,1","1","0","","ぽぽ🎈",
"20200528-6","Side","","Navy Blue","","Navy Blue","White","0","0","","1","0","","ぽぽ🎈",
"20200529-1","Front","","Black","Red","Black","White","1","0","2","1","0","","みなみさき",
"20200529-2","Front","","Brown","Yellow","Brown","White","0","0","2","1","0","","weri",
"20200529-3","Front","","Black","Red","Black","Black","1","0","1","1","0","","weri",
"20200529-4","Front","","Black","Red","Black","White","0","0","1","1","0","","weri",
"20200529-5","Side","Streets","Navy Blue","Red","Navy Blue","Navy Blue","1","0","2","1","0","","耳かき",
"20200529-6","Front","","Navy Blue","Red","Navy Blue","White","0","1","2","1","0","","耳かき",
"20200531-1","Front","Streets","Navy Blue","Grue","Navy Blue","White","1","0","2","1","0","0","みなみさき",
"20200531-2","Front","Building","Gray","Yellow","Gray","White","0","0","2","1","0","0","みなみさき",
"20200531-3","Side","Wilderness","Navy Blue","Blue","Navy Blue","White","0","0","0","1","0","0","みなみさき",
"20200531-4","Front","Wilderness","Gray","Red","","White","1","0","2","1","0","0","Aちき",
"20200531-5","Front,Side","Wilderness","Black","White","","Black","1","0","0","1","0","0","Aちき",
"20200531-6","Front","","Navy Blue","Green","","White","1","0","1","1","0","","betock",
"20200618-1","Front","","Black","White","Black","Gray","1","0","0","1","0","","chiranai",
"20200618-2","Side","Wilderness,Beach","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","0","やまうち",
"20200618-3","Front,Side","Wilderness","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","やまうち",
"20200618-4","Front","","Gray","Gray","","White","1","0","2","1","0","","Shijohane","Hyouka,Eru Chitanda"
"20200618-5","Front","Pool","Navy Blue","Blue","Navy Blue","Translucent White","1","1","1","1","0","0","pasdar",
"20200618-6","Side","School","Navy Blue","Blue","Navy Blue","White","1","0","1","1","0","1","pasdar",
"20200619-1","Front,Bottom","Building","Navy Blue","Blue","Navy Blue","White","1","0","1","1","0","2","pasdar",
"20200619-2","Top","Bed","Navy Blue","Blue","","White","1","2","1","1","0","","pasdar",
"20200619-3","Side,Back,Bottom","Streets,Wilderness","Navy Blue","Red","Navy Blue","White","1","1","1","1","0","0","pasdar",
"20200619-4","Front","","Navy Blue","Blue","Navy Blue","Translucent White","0","0","0,1","1","0","","翠みや子＊","Rainfall"
"20200619-5","Front","Pool","Black","Dark Blue","Navy Blue","Translucent White","0","1","2","1","0","0","日茶のむ",
"20200619-6","Side","","White","Blue","Black","Black","1","0","0","1","0","","ツキマル",
"20200620-1","Front","","Black","Yellow","Black","White","0","0","2","1","0","","ユウナ",
"20200620-2","Front","Wilderness","White","Red","Grue","White","0","0","2","1","0","0","りく",
"20200620-3","Front","School","Navy Blue","Red","","White","1","0","1","1","0","1","Parum",
"20200620-4","Front","Streets","White","Grue","Black","White","0","0","2","1","0","0","和遥キナ",
"20200620-5","Side","Streets,Train Station,Yamagata","Navy Blue","Light Blue","","White","0","0","1","1","0","0","和遥キナ",
"20200620-6","Side","Wilderness","Navy Blue","Red","Navy Blue","Ivory,White","1","0","1","1","0","0","和遥キナ",
"20200622-1","Front","Bed","Gray","","Gray","White","0","2","2","1","1","","浅賀葵","Masturbation,Cum"
"20200622-2","Front","Streets,Nihonbashi","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","2","和遥キナ",
"20200622-3","Front","","Gray","Blue","Gray","White","0","0","2","1","0","","和遥キナ",
"20200622-4","Front","Streets","Gray","Yellow","Gray","White","0","0","1","1","0","1","和遥キナ",
"20200622-5","Side,Back","Wilderness","White","Blue","Navy Blue","White","0","0","1,2","1","0","0","和遥キナ",
"20200622-6","Front,Side","Wilderness","Blue","Light Blue,Grue","","White","0","0","0","1","0","1","和遥キナ",
"20200623-1","Back","Home","Navy Blue","Red","Navy Blue","White","0","1","1","1","0","","ねでぃあ","Animal"
"20200623-2","Front,Top","School,Building","Navy Blue","Red","Navy Blue","White","0","1","0","1","0","","ねでぃあ",
"20200623-3","Front","Home","Navy Blue","Red","/","White","0","2","1","1","0","","ねでぃあ",
